iter	Passed	Remaining
418	2320	3217
419	2325	3211
420	2330	3205
421	2335	3199
422	2340	3192
423	2345	3186
424	2350	3180
425	2356	3174
426	2361	3169
427	2367	3164
428	2372	3158
429	2378	3153
430	2384	3147
431	2389	3141
432	2395	3137
433	2400	3131
434	2406	3125
435	2411	3119
436	2416	3113
437	2422	3107
438	2429	3104
439	2434	3098
440	2439	3092
441	2444	3085
442	2449	3079
443	2453	3072
444	2459	3067
445	2464	3061
446	2469	3055
447	2474	3049
448	2479	3042
449	2484	3036
450	2489	3030
451	2494	3023
452	2499	3017
453	2504	3012
454	2509	3006
455	2514	2999
456	2519	2993
457	2524	2987
458	2529	2981
459	2535	2976
460	2540	2970
461	2546	2964
462	2551	2959
463	2556	2952
464	2561	2946
465	2566	2941
466	2572	2935
467	2577	2930
468	2582	2924
469	2588	2918
470	2593	2913
471	2599	2907
472	2604	2902
473	2610	2896
474	2615	2890
475	2621	2885
476	2626	2880
477	2631	2874
478	2637	2868
479	2643	2863
480	2647	2857
481	2654	2852
482	2660	2847
483	2665	2841
484	2671	2836
485	2676	2830
486	2684	2827
487	2690	2823
488	2696	2817
489	2702	2813
490	2708	2807
491	2715	2803
492	2720	2798
493	2727	2793
494	2734	2789
495	2740	2785
496	2746	2779
497	2752	2774
498	2757	2768
499	2763	2763
500	2769	2758
501	2775	2753
502	2780	2747
503	2786	2742
504	2791	2736
505	2797	2731
506	2804	2726
507	2809	2720
508	2815	2715
509	2823	2712
510	2829	2707
511	2834	2702
512	2840	2696
513	2846	2691
514	2851	2685
515	2856	2679
516	2862	2674
517	2868	2668
518	2873	2662
519	2879	2657
520	2883	2651
521	2888	2645
522	2894	2640
523	2900	2634
524	2905	2628
525	2911	2623
526	2916	2617
527	2921	2611
528	2926	2606
529	2932	2600
530	2937	2594
531	2943	2589
532	2948	2583
533	2954	2578
534	2960	2573
535	2965	2566
536	2972	2562
537	2977	2556
538	2982	2551
539	2987	2545
540	2993	2539
541	2999	2534
542	3007	2531
543	3013	2526
544	3020	2521
545	3026	2516
546	3032	2511
547	3038	2505
548	3044	2500
549	3049	2494
550	3055	2489
551	3060	2484
552	3065	2478
553	3072	2473
554	3077	2467
555	3082	2461
556	3090	2457
557	3095	2452
558	3102	2447
559	3108	2442
560	3114	2436
561	3120	2432
562	3125	2426
563	3130	2420
564	3137	2415
565	3141	2409
566	3146	2403
567	3153	2398
568	3158	2392
569	3162	2385
570	3169	2381
571	3174	2375
572	3179	2369
573	3185	2364
574	3190	2358
575	3195	2352
576	3202	2347
577	3207	2341
578	3214	2337
579	3220	2331
580	3225	2325
581	3230	2320
582	3235	2314
583	3240	2308
584	3245	2302
585	3250	2296
586	3255	2290
587	3260	2284
588	3265	2278
589	3271	2273
590	3276	2267
591	3282	2262
592	3287	2256
593	3293	2251
594	3299	2245
595	3304	2240
596	3311	2235
597	3316	2229
598	3322	2224
599	3328	2218
600	3334	2213
601	3340	2208
602	3346	2203
603	3351	2197
604	3357	2192
605	3362	2186
606	3368	2180
607	3373	2175
608	3379	2169
609	3384	2163
610	3390	2158
611	3396	2153
612	3401	2147
613	3407	2142
614	3412	2136
615	3417	2130
616	3436	2133
617	3442	2127
618	3446	2121
619	3451	2115
620	3457	2110
621	3462	2104
622	3467	2098
623	3473	2092
624	3478	2086
625	3482	2080
626	3488	2075
627	3493	2069
628	3498	2063
629	3503	2057
630	3507	2051
631	3513	2045
632	3518	2040
633	3523	2034
634	3529	2028
635	3535	2023
636	3540	2017
637	3546	2012
638	3552	2006
639	3557	2001
640	3563	1995
641	3569	1990
642	3575	1985
643	3581	1979
644	3588	1974
645	3595	1970
646	3602	1965
647	3609	1960
648	3615	1955
649	3622	1950
650	3627	1944
651	3634	1940
652	3641	1934
653	3646	1929
654	3653	1924
655	3659	1919
656	3666	1914
657	3673	1909
658	3678	1903
659	3684	1898
660	3690	1892
661	3696	1887
662	3702	1882
663	3708	1876
664	3714	1871
665	3721	1866
666	3729	1862
667	3735	1856
668	3741	1851
669	3748	1846
670	3754	1840
671	3759	1835
672	3766	1829
673	3771	1824
674	3776	1818
675	3782	1812
676	3788	1807
677	3794	1802
678	3799	1796
679	3804	1790
680	3810	1784
681	3816	1779
682	3821	1773
683	3827	1768
684	3833	1762
685	3838	1756
686	3844	1751
687	3850	1746
688	3855	1740
689	3860	1734
690	3865	1728
691	3871	1723
692	3877	1717
693	3883	1712
694	3887	1706
695	3893	1700
696	3898	1694
697	3904	1689
698	3909	1683
699	3914	1677
700	3920	1672
701	3926	1666
702	3931	1661
703	3936	1655
704	3942	1649
705	3947	1643
706	3952	1638
707	3957	1632
708	3962	1626
709	3967	1620
710	3973	1615
711	3978	1609
712	3985	1604
713	3990	1598
714	3995	1592
715	4001	1587
716	4005	1581
717	4011	1575
718	4016	1569
719	4021	1563
720	4026	1558
721	4031	1552
722	4036	1546
723	4041	1540
724	4046	1534
725	4050	1528
726	4056	1523
727	4061	1517
728	4066	1511
729	4071	1505
730	4076	1500
731	4081	1494
732	4087	1488
733	4092	1482
734	4096	1477
735	4102	1471
736	4107	1465
737	4112	1459
738	4117	1454
739	4122	1448
740	4128	1442
741	4133	1437
742	4138	1431
743	4143	1425
744	4148	1419
745	4153	1414
746	4159	1408
747	4164	1403
748	4169	1397
749	4174	1391
750	4179	1385
751	4184	1379
752	4189	1374
753	4194	1368
754	4199	1362
755	4204	1356
756	4209	1351
757	4214	1345
758	4219	1339
759	4224	1333
760	4229	1328
761	4234	1322
762	4239	1316
763	4244	1311
764	4249	1305
765	4255	1299
766	4260	1294
767	4265	1288
768	4269	1282
769	4274	1276
770	4280	1271
771	4284	1265
772	4289	1259
773	4295	1254
774	4300	1248
775	4305	1242
776	4310	1237
777	4315	1231
778	4320	1225
779	4325	1220
780	4331	1214
781	4336	1208
782	4341	1203
783	4346	1197
784	4351	1191
785	4357	1186
786	4362	1180
787	4367	1174
788	4374	1169
789	4379	1164
790	4384	1158
791	4390	1153
792	4395	1147
793	4400	1141
794	4405	1136
795	4410	1130
796	4416	1124
797	4420	1119
798	4425	1113
799	4431	1107
800	4436	1102
801	4441	1096
802	4445	1090
803	4450	1084
804	4455	1079
805	4460	1073
806	4465	1067
807	4470	1062
808	4475	1056
809	4480	1051
810	4485	1045
811	4490	1039
812	4495	1034
813	4500	1028
814	4506	1022
815	4511	1017
816	4515	1011
817	4521	1005
818	4526	1000
819	4531	994
820	4536	989
821	4541	983
822	4546	977
823	4551	972
824	4556	966
825	4561	960
826	4566	955
827	4571	949
828	4576	943
829	4581	938
830	4586	932
831	4591	927
832	4596	921
833	4601	915
834	4606	910
835	4611	904
836	4616	899
837	4622	893
838	4627	887
839	4632	882
840	4636	876
841	4642	871
842	4648	865
843	4653	860
844	4657	854
845	4662	848
846	4667	843
847	4672	837
848	4677	832
849	4682	826
850	4687	820
851	4692	815
852	4697	809
853	4703	804
854	4708	798
855	4713	792
856	4718	787
857	4723	781
858	4728	776
859	4732	770
860	4737	764
861	4743	759
862	4748	753
863	4753	748
864	4758	742
865	4765	737
866	4770	731
867	4775	726
868	4779	720
869	4784	714
870	4789	709
871	4794	703
872	4799	698
873	4804	692
874	4809	687
875	4814	681
876	4818	675
877	4824	670
878	4828	664
879	4833	659
880	4838	653
881	4842	647
882	4847	642
883	4852	636
884	4857	631
885	4861	625
886	4866	619
887	4871	614
888	4876	608
889	4881	603
890	4886	597
891	4891	592
892	4896	586
893	4901	581
894	4906	575
895	4911	570
896	4916	564
897	4921	558
898	4926	553
899	4931	547
900	4936	542
901	4941	536
902	4946	531
903	4951	525
904	4955	520
905	4961	514
906	4965	509
907	4970	503
908	4975	498
909	4980	492
910	4985	487
911	4990	481
912	4995	475
913	5000	470
914	5005	464
915	5010	459
916	5015	453
917	5021	448
918	5026	443
919	5031	437
920	5036	432
921	5041	426
922	5045	420
923	5051	415
924	5056	409
925	5060	404
926	5065	398
927	5070	393
928	5074	387
929	5079	382
930	5084	376
931	5089	371
932	5094	365
933	5099	360
934	5104	354
935	5109	349
936	5114	343
937	5119	338
938	5123	332
939	5129	327
940	5134	321
941	5139	316
942	5144	310
943	5149	305
944	5155	300
945	5160	294
946	5165	289
947	5170	283
948	5175	278
949	5180	272
950	5185	267
951	5190	261
952	5195	256
953	5200	250
954	5205	245
955	5209	239
956	5214	234
957	5219	228
958	5224	223
959	5229	217
960	5234	212
961	5239	206
962	5244	201
963	5248	196
964	5253	190
965	5258	185
966	5263	179
967	5268	174
968	5274	168
969	5278	163
970	5284	157
971	5289	152
972	5294	146
973	5299	141
974	5305	136
975	5309	130
976	5314	125
977	5319	119
978	5324	114
